28.190779	10.260604
24.871127	16.775787
20.073918	22.294345
14.084147	26.488428
7.257657	29.108872
0.0	30.0
-7.257657	29.108872
-14.084147	26.488428
-20.073918	22.294345
-24.871127	16.775787
-28.190779	10.260604
-29.726945	7.770099
-32.123917	6.091721
-34.989626	5.5
-54.491524	5.5
-57.241524	4.76314
-59.254664	2.75
-59.991524	0.0
-59.254664	-2.75
-57.241524	-4.76314
-54.491524	-5.5
-34.989626	-5.5
-32.123917	-6.091721
-29.726945	-7.770099
-28.190779	-10.260604
-24.871127	-16.775787
-20.073918	-22.294345
-14.084147	-26.488428
-7.257657	-29.108872
-0.0	-30.0
7.257657	-29.108872
14.084147	-26.488428
20.073918	-22.294345
24.871127	-16.775787
28.190779	-10.260604
29.726945	-7.770099
32.123917	-6.091721
34.989626	-5.5
54.491524	-5.5
57.241524	-4.76314
59.254664	-2.75
59.991524	0.0
59.254664	2.75
57.241524	4.76314
54.491524	5.5
34.989626	5.5
32.123917	6.091721
29.726945	7.770099
